Block Size,Read Percentage,Read Speed (MBPS),Write Speed (MBPS),Read Latency (ns),Write Latency (ns)
128K,100,3319.713850774414,0.0,593984.331296,0.0
128K,90,2681.1586462714845,299.4091961005859,720699.695483,121863.506704
128K,80,2192.7161403623045,550.3183675810546,867720.144447,123468.183049
128K,70,1873.2386997763672,803.3068047529297,1000465.620714,126089.985655
128K,60,1496.9012440917968,999.2392988447266,1090054.453502,328530.168813
128K,50,1002.6013819589843,1002.7045118828125,910145.021566,1019073.076499
128K,40,671.8593339677734,1005.9535353203125,866325.195387,1337844.764205
128K,30,551.4192981884765,1289.8971080615233,1319003.407824,944559.799107
128K,20,346.69373687011716,1387.8189174111328,1829361.850285,946457.827155
128K,10,153.81213891796875,1390.1704224658204,2158327.445595,1164276.489645
128K,0,0.0,1196.5328420429687,0.0,1629289.372476
4K,100,351.22441242089843,0.0,106523.971428,0.0
4K,90,336.7244452470703,37.424886751953125,116056.493313,91323.739747
4K,80,290.9147518378906,72.82198660742188,120145.315252,95465.170375
4K,70,248.3527852548828,106.30002626074219,123688.711692,99062.762262
4K,60,206.4897584033203,137.80170857421874,127994.378167,103279.273785
4K,50,174.85063517578126,174.8912733066406,127590.035024,102390.645283
4K,40,142.59761521777344,213.4081949189453,137448.957187,98690.533543
4K,30,102.22825301953125,238.553202140625,207994.507322,94084.564778
4K,20,66.34539128125,265.6625279013672,232328.844384,100503.479307
4K,10,32.35804556152344,291.4015969667969,249779.829173,109151.339377
4K,0,0.0,256.8772403496094,0.0,142916.260185
